id,genre,instrument,mood/theme
gBR_sFM_c01_d06_mBR2_ch16_3,reggae,"acousticguitar,guitar,computer",film
gBR_sFM_c01_d06_mBR2_ch16_4,hiphop,"voice,guitar,drums",film
gBR_sFM_c01_d06_mBR2_ch16_5,reggae,"drummachine,guitar,voice",film
gBR_sFM_c01_d06_mBR2_ch16_6,hiphop,"drummachine,guitar,voice",film
gBR_sFM_c01_d06_mBR2_ch16_7,reggae,"drummachine,voice,synthesizer",film
gBR_sFM_c01_d06_mBR2_ch16_8,hiphop,"drums,synthesizer,voice",energetic
gBR_sBM_c01_d04_mBR3_ch03_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR3_ch03_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d04_mBR3_ch04_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR3_ch04_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d04_mBR3_ch05_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR3_ch05_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d04_mBR3_ch06_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR3_ch06_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d04_mBR3_ch07_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR3_ch07_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d04_mBR3_ch08_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR3_ch08_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d04_mBR3_ch09_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR3_ch09_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d04_mBR3_ch10_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR3_ch10_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d06_mBR3_ch03_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d06_mBR3_ch03_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d06_mBR3_ch04_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d06_mBR3_ch04_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d06_mBR3_ch05_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d06_mBR3_ch05_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d06_mBR3_ch06_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d06_mBR3_ch06_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d06_mBR3_ch07_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d06_mBR3_ch07_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d06_mBR3_ch08_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d06_mBR3_ch08_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d06_mBR3_ch09_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d06_mBR3_ch09_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sBM_c01_d06_mBR3_ch10_1,jazz,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d06_mBR3_ch10_2,newage,"synthesizer,drums,drummachine",energetic
gBR_sFM_c01_d04_mBR3_ch04_1,jazz,"drummachine,piano,bass",energetic
gBR_sFM_c01_d04_mBR3_ch04_2,newage,"synthesizer,drummachine,electricpiano",energetic
gBR_sFM_c01_d04_mBR3_ch04_3,newage,"synthesizer,drummachine,drums",energetic
gBR_sFM_c01_d04_mBR3_ch04_4,poprock,"drummachine,synthesizer,drums",energetic
gBR_sFM_c01_d04_mBR3_ch04_5,newage,"drummachine,synthesizer,electricpiano",energetic
gBR_sFM_c01_d04_mBR3_ch04_6,folk,"drums,drummachine,electricpiano",film
gBR_sFM_c01_d04_mBR3_ch04_7,reggae,"drums,drummachine,synthesizer",energetic
gBR_sFM_c01_d05_mBR3_ch10_1,jazz,"drummachine,piano,bass",energetic
gBR_sFM_c01_d05_mBR3_ch10_2,newage,"synthesizer,drummachine,electricpiano",energetic
gBR_sFM_c01_d05_mBR3_ch10_3,newage,"synthesizer,drummachine,drums",energetic
gBR_sFM_c01_d05_mBR3_ch10_4,poprock,"drummachine,synthesizer,drums",energetic
gBR_sFM_c01_d05_mBR3_ch10_5,newage,"drummachine,synthesizer,electricpiano",energetic
gBR_sFM_c01_d05_mBR3_ch10_6,folk,"drums,drummachine,electricpiano",film
gBR_sFM_c01_d05_mBR3_ch10_7,reggae,"drums,drummachine,synthesizer",energetic
gBR_sFM_c01_d06_mBR3_ch17_1,jazz,"drummachine,piano,bass",energetic
gBR_sFM_c01_d06_mBR3_ch17_2,newage,"synthesizer,drummachine,electricpiano",energetic
gBR_sFM_c01_d06_mBR3_ch17_3,newage,"synthesizer,drummachine,drums",energetic
gBR_sFM_c01_d06_mBR3_ch17_4,poprock,"drummachine,synthesizer,drums",energetic
gBR_sFM_c01_d06_mBR3_ch17_5,newage,"drummachine,synthesizer,electricpiano",energetic
gBR_sFM_c01_d06_mBR3_ch17_6,folk,"drums,drummachine,electricpiano",film
gBR_sFM_c01_d06_mBR3_ch17_7,reggae,"drums,drummachine,synthesizer",energetic
gBR_sBM_c01_d05_mBR4_ch03_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d05_mBR4_ch03_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR4_ch04_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d05_mBR4_ch04_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR4_ch05_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d05_mBR4_ch05_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR4_ch06_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d05_mBR4_ch06_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR4_ch07_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d05_mBR4_ch07_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR4_ch08_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d05_mBR4_ch08_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR4_ch09_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d05_mBR4_ch09_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR4_ch10_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d05_mBR4_ch10_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d06_mBR4_ch03_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d06_mBR4_ch03_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d06_mBR4_ch04_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d06_mBR4_ch04_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d06_mBR4_ch05_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d06_mBR4_ch05_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d06_mBR4_ch06_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d06_mBR4_ch06_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d06_mBR4_ch07_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d06_mBR4_ch07_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d06_mBR4_ch08_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d06_mBR4_ch08_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d06_mBR4_ch09_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d06_mBR4_ch09_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d06_mBR4_ch10_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sBM_c01_d06_mBR4_ch10_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d04_mBR4_ch05_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sFM_c01_d04_mBR4_ch05_2,newage,"drummachine,synthesizer,piano",energetic
gBR_sFM_c01_d04_mBR4_ch05_3,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d04_mBR4_ch05_4,newage,"drummachine,piano,drums",energetic
gBR_sFM_c01_d04_mBR4_ch05_5,jazz,"piano,synthesizer,drums",film
gBR_sFM_c01_d04_mBR4_ch05_6,metal,"drummachine,drums,piano",energetic
gBR_sFM_c01_d04_mBR4_ch07_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sFM_c01_d04_mBR4_ch07_2,newage,"drummachine,synthesizer,piano",energetic
gBR_sFM_c01_d04_mBR4_ch07_3,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d04_mBR4_ch07_4,newage,"drummachine,piano,drums",energetic
gBR_sFM_c01_d04_mBR4_ch07_5,jazz,"piano,synthesizer,drums",film
gBR_sFM_c01_d04_mBR4_ch07_6,metal,"drummachine,drums,piano",energetic
gBR_sFM_c01_d05_mBR4_ch11_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sFM_c01_d05_mBR4_ch11_2,newage,"drummachine,synthesizer,piano",energetic
gBR_sFM_c01_d05_mBR4_ch11_3,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d05_mBR4_ch11_4,newage,"drummachine,piano,drums",energetic
gBR_sFM_c01_d05_mBR4_ch11_5,jazz,"piano,synthesizer,drums",film
gBR_sFM_c01_d05_mBR4_ch11_6,metal,"drummachine,drums,piano",energetic
gBR_sFM_c01_d05_mBR4_ch13_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sFM_c01_d05_mBR4_ch13_2,newage,"drummachine,synthesizer,piano",energetic
gBR_sFM_c01_d05_mBR4_ch13_3,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d05_mBR4_ch13_4,newage,"drummachine,piano,drums",energetic
gBR_sFM_c01_d05_mBR4_ch13_5,jazz,"piano,synthesizer,drums",film
gBR_sFM_c01_d05_mBR4_ch13_6,metal,"drummachine,drums,piano",energetic
gBR_sFM_c01_d06_mBR4_ch18_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sFM_c01_d06_mBR4_ch18_2,newage,"drummachine,synthesizer,piano",energetic
gBR_sFM_c01_d06_mBR4_ch18_3,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d06_mBR4_ch18_4,newage,"drummachine,piano,drums",energetic
gBR_sFM_c01_d06_mBR4_ch18_5,jazz,"piano,synthesizer,drums",film
gBR_sFM_c01_d06_mBR4_ch18_6,metal,"drummachine,drums,piano",energetic
gBR_sFM_c01_d06_mBR4_ch20_1,instrumentalpop,"drummachine,piano,electricpiano",energetic
gBR_sFM_c01_d06_mBR4_ch20_2,newage,"drummachine,synthesizer,piano",energetic
gBR_sFM_c01_d06_mBR4_ch20_3,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d06_mBR4_ch20_4,newage,"drummachine,piano,drums",energetic
gBR_sFM_c01_d06_mBR4_ch20_5,jazz,"piano,synthesizer,drums",film
gBR_sFM_c01_d06_mBR4_ch20_6,metal,"drummachine,drums,piano",energetic
gBR_sBM_c01_d05_mBR5_ch03_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d05_mBR5_ch04_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d05_mBR5_ch05_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d05_mBR5_ch06_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d05_mBR5_ch07_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d05_mBR5_ch08_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d05_mBR5_ch09_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d05_mBR5_ch10_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d06_mBR5_ch03_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d06_mBR5_ch04_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d06_mBR5_ch05_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d06_mBR5_ch06_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d06_mBR5_ch07_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d06_mBR5_ch08_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d06_mBR5_ch09_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sBM_c01_d06_mBR5_ch10_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sFM_c01_d04_mBR5_ch06_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sFM_c01_d04_mBR5_ch06_2,reggae,"piano,synthesizer,electricpiano",film
gBR_sFM_c01_d04_mBR5_ch06_3,reggae,"piano,synthesizer,electricpiano",energetic
gBR_sFM_c01_d04_mBR5_ch06_4,metal,"drummachine,piano,drums",energetic
gBR_sFM_c01_d04_mBR5_ch06_5,newage,"synthesizer,piano,electricpiano",film
gBR_sFM_c01_d04_mBR5_ch06_6,reggae,"piano,electricpiano,synthesizer",film
gBR_sFM_c01_d05_mBR5_ch12_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sFM_c01_d05_mBR5_ch12_2,reggae,"piano,synthesizer,electricpiano",film
gBR_sFM_c01_d05_mBR5_ch12_3,reggae,"piano,synthesizer,electricpiano",energetic
gBR_sFM_c01_d05_mBR5_ch12_4,metal,"drummachine,piano,drums",energetic
gBR_sFM_c01_d05_mBR5_ch12_5,newage,"synthesizer,piano,electricpiano",film
gBR_sFM_c01_d05_mBR5_ch12_6,reggae,"piano,electricpiano,synthesizer",film
gBR_sFM_c01_d05_mBR5_ch14_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sFM_c01_d05_mBR5_ch14_2,reggae,"piano,synthesizer,electricpiano",film
gBR_sFM_c01_d05_mBR5_ch14_3,reggae,"piano,synthesizer,electricpiano",energetic
gBR_sFM_c01_d05_mBR5_ch14_4,metal,"drummachine,piano,drums",energetic
gBR_sFM_c01_d05_mBR5_ch14_5,newage,"synthesizer,piano,electricpiano",film
gBR_sFM_c01_d05_mBR5_ch14_6,reggae,"piano,electricpiano,synthesizer",film
gBR_sFM_c01_d06_mBR5_ch19_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sFM_c01_d06_mBR5_ch19_2,reggae,"piano,synthesizer,electricpiano",film
gBR_sFM_c01_d06_mBR5_ch19_3,reggae,"piano,synthesizer,electricpiano",energetic
gBR_sFM_c01_d06_mBR5_ch19_4,metal,"drummachine,piano,drums",energetic
gBR_sFM_c01_d06_mBR5_ch19_5,newage,"synthesizer,piano,electricpiano",film
gBR_sFM_c01_d06_mBR5_ch19_6,reggae,"piano,electricpiano,synthesizer",film
gBR_sFM_c01_d06_mBR5_ch21_1,instrumentalpop,"drummachine,piano,electricpiano",film
gBR_sFM_c01_d06_mBR5_ch21_2,reggae,"piano,synthesizer,electricpiano",film
gBR_sFM_c01_d06_mBR5_ch21_3,reggae,"piano,synthesizer,electricpiano",energetic
gBR_sFM_c01_d06_mBR5_ch21_4,metal,"drummachine,piano,drums",energetic
gBR_sFM_c01_d06_mBR5_ch21_5,newage,"synthesizer,piano,electricpiano",film
gBR_sFM_c01_d06_mBR5_ch21_6,reggae,"piano,electricpiano,synthesizer",film
gHO_sBM_c01_d19_mHO0_ch03_1,techno,"drummachine,keyboard,drums",energetic
gHO_sBM_c01_d19_mHO0_ch03_2,reggae,"drummachine,drums,synthesizer",energetic
gHO_sBM_c01_d19_mHO0_ch04_1,techno,"drummachine,keyboard,drums",energetic
gHO_sBM_c01_d19_mHO0_ch04_2,reggae,"drummachine,drums,synthesizer",energetic
gHO_sBM_c01_d19_mHO0_ch05_1,techno,"drummachine,keyboard,drums",energetic
gHO_sBM_c01_d19_mHO0_ch05_2,reggae,"drummachine,drums,synthesizer",energetic
gHO_sBM_c01_d19_mHO0_ch06_1,techno,"drummachine,keyboard,drums",energetic
gHO_sBM_c01_d19_mHO0_ch06_2,reggae,"drummachine,drums,synthesizer",energetic
gHO_sBM_c01_d19_mHO0_ch07_1,techno,"drummachine,keyboard,drums",energetic
gHO_sBM_c01_d19_mHO0_ch07_2,reggae,"drummachine,drums,synthesizer",energetic
gHO_sBM_c01_d19_mHO0_ch08_1,techno,"drummachine,keyboard,drums",energetic
gHO_sBM_c01_d19_mHO0_ch08_2,reggae,"drummachine,drums,synthesizer",energetic
gHO_sBM_c01_d19_mHO0_ch09_1,techno,"drummachine,keyboard,drums",energetic
gHO_sBM_c01_d19_mHO0_ch09_2,reggae,"drummachine,drums,synthesizer",energetic
gHO_sBM_c01_d19_mHO0_ch10_1,techno,"drummachine,keyboard,drums",energetic
